dia,dia_padded,data,data_ddmm,passagem,tema,contexto,leitura_texto,sintese_teologica,questao_estudo
1,01,"ago. 26, 2026",26/08,Isaías 1–4,"Juízo, culto e restauração","Isaías abre sua profecia dirigindo-se principalmente a Judá e Jerusalém. O povo conserva sacrifícios, festas e orações, mas a vida da aliança está marcada por rebelião, injustiça e idolatria.","O capítulo 1 apresenta a acusação que orienta a abertura do livro: a religião de Judá não compensa sua infidelidade. Nos capítulos 2 a 4, o horizonte se amplia. Isaías vê Sião como centro futuro da instrução do Senhor e da paz entre as nações, mas essa esperança passa pelo abatimento do orgulho, pelo juízo sobre Jerusalém e pela purificação do povo. Juízo e restauração, portanto, não aparecem como alternativas. O mesmo Deus que denuncia a corrupção de Judá promete produzir uma comunidade purificada e novamente marcada por sua presença.","A restauração prometida por Deus não ignora a infidelidade da aliança, mas passa por seu julgamento e purificação.",Como Isaías 1–4 articula juízo e esperança sem tratar a restauração como simples anulação das consequências da infidelidade?
2,02,"ago. 27, 2026",27/08,Isaías 5–8,A vinha infiel e a crise da fé,A denúncia contra Judá se intensifica e passa a ser ligada diretamente ao chamado de Isaías e à crise política dos dias de Acaz. O avanço assírio coloca diante do rei e do povo a questão central da confiança.,"A canção da vinha, no capítulo 5, descreve Israel como plantação cuidadosamente cultivada que produziu fruto mau, especialmente injustiça e violência. No capítulo 6, Isaías contempla a santidade do Senhor e recebe uma missão que também expõe o endurecimento do povo. Os capítulos 7 e 8 transferem essa tensão para a política: Acaz prefere calcular alianças e ameaças a descansar na palavra de Deus. O sinal de Emanuel garante que Deus não perdeu o controle da história, mas a incredulidade de Judá transforma a própria Assíria em instrumento de disciplina.",A santidade e a soberania de Deus exigem uma confiança que não pode ser substituída por segurança política ou religiosa.,De que modo os capítulos 5–8 relacionam a condição espiritual de Judá à recusa de Acaz em confiar na palavra do Senhor?
3,03,"ago. 28, 2026",28/08,Isaías 9–12,"Juízo, remanescente e o Rei prometido","Depois da crise apresentada nos capítulos anteriores, Isaías reúne anúncios de juízo contra a arrogância de Israel e da Assíria com promessas de um governo futuro estabelecido por Deus.","A luz que surge em meio às trevas é associada ao nascimento e ao governo de um rei cuja justiça não terá fim. Ao mesmo tempo, Isaías insiste que o pecado de Israel e a arrogância da Assíria serão julgados. A Assíria é instrumento nas mãos de Deus, não poder autônomo, e também responderá por sua soberba. Do tronco aparentemente cortado de Jessé surgirá um rebento sobre quem repousará o Espírito do Senhor. Esse governo justo reunirá o remanescente e produzirá uma ordem marcada pelo conhecimento de Deus. O capítulo 12 conclui a seção com louvor pela salvação.","A esperança do povo não está na permanência de seus poderes presentes, mas no Rei que Deus estabelece e no remanescente que ele preserva.",Como a figura do governante prometido em Isaías 9 e 11 responde simultaneamente ao fracasso de Israel e à ameaça dos impérios?
4,04,"ago. 29, 2026",29/08,Isaías 13–16,O Senhor das nações,Isaías inicia uma série de oráculos contra povos vizinhos e grandes potências. O foco deixa temporariamente Jerusalém para mostrar que o governo do Senhor alcança também as nações.,"Babilônia aparece primeiro como símbolo de poder arrogante destinado à queda. A linguagem do Dia do Senhor amplia o julgamento para além de um conflito local e apresenta Deus como juiz da soberba humana. A Assíria e a Filístia também são colocadas sob seu decreto. Nos capítulos 15 e 16, o oráculo contra Moabe combina devastação com lamento, impedindo que o juízo seja lido como simples celebração da ruína alheia. A sequência desloca a percepção de Israel: as nações que parecem determinar a história também estão submetidas à palavra do Senhor.","Nenhum poder político possui autonomia diante de Deus, e seu juízo sobre as nações não elimina a seriedade humana do sofrimento.",Que aspectos dos oráculos de Isaías 13–16 impedem que o juízo das nações seja entendido apenas como triunfo nacional de Judá?
5,05,"ago. 30, 2026",30/08,Isaías 17–20,Falsas seguranças em um mundo instável,"Os oráculos continuam em meio às disputas entre pequenos reinos e grandes impérios. Judá é tentada a interpretar Egito, Cuxe e outras potências como possíveis fontes de proteção contra a Assíria.","Damasco e o reino do Norte são apresentados como poderes destinados à ruína, enquanto o capítulo 18 volta-se para Cuxe e reafirma que o Senhor observa e dirige os movimentos das nações. O capítulo 19 anuncia juízo sobre o Egito, mas termina de modo surpreendente, imaginando Egito, Assíria e Israel reunidos sob a bênção de Deus. No capítulo 20, a ação simbólica de Isaías expõe a fragilidade de confiar no Egito e em Cuxe contra a Assíria. O conjunto não condena apenas determinadas alianças. Ele questiona a lógica pela qual Judá procura segurança em poderes igualmente vulneráveis ao governo de Deus.",A confiança em potências humanas se torna ilusória quando todas elas permanecem sujeitas ao mesmo Senhor da história.,Como Isaías 17–20 usa o destino das nações para desmontar a expectativa de que alianças internacionais poderiam garantir a segurança de Judá?
6,06,"ago. 31, 2026",31/08,Isaías 21–23,A queda do que parecia seguro,"A sequência de oráculos se volta para Babilônia, Edom, Arábia, Jerusalém e Tiro. Cidades e povos muito diferentes são reunidos por uma mesma realidade: nenhum deles possui estabilidade própria.","O anúncio da queda da Babilônia contrasta com sua aparência de poder. Edom e Arábia recebem palavras marcadas por incerteza e ameaça. No capítulo 22, a atenção chega à própria Jerusalém: em vez de responder ao perigo com arrependimento, a cidade celebra e confia em suas defesas. A substituição de Sebna por Eliaquim mostra que até posições internas de autoridade estão sob julgamento. Tiro, grande centro comercial, encerra a seção sendo humilhada apesar de sua riqueza e influência. O problema comum não é apenas poder, mas a segurança construída como se o Senhor não fosse o verdadeiro agente da história.","Poder militar, posição e riqueza não sustentam aquilo que Deus decidiu humilhar.","Qual é o vínculo entre Babilônia, Jerusalém e Tiro nesses oráculos, apesar das diferenças políticas e econômicas entre elas?"
7,07,"set. 1, 2026",01/09,Isaías 24–27,Juízo universal e esperança final,"Depois de vários oráculos dirigidos a nações específicas, Isaías amplia a cena. Os capítulos 24 a 27 descrevem o juízo e a salvação em escala muito maior, frequentemente chamados de seção apocalíptica de Isaías.","A terra é retratada sob julgamento porque seus habitantes transgrediram e romperam aquilo que deveria ordenar a vida diante de Deus. Em contraste, o Senhor reina e prepara um banquete para os povos, remove a desonra e vence a própria morte. O cântico do capítulo 26 combina confiança com espera, enquanto o capítulo 27 retoma a imagem da vinha, agora cuidada pelo próprio Senhor, e anuncia a reunião do povo disperso. A passagem move-se da desolação para uma esperança que ultrapassa a simples recuperação política de Judá.","O juízo de Deus alcança a ordem humana corrompida, mas sua salvação aponta para uma restauração de alcance universal e até para a derrota da morte.",Que mudanças de escala em Isaías 24–27 mostram que a esperança apresentada vai além da restauração nacional de Judá?
8,08,"set. 2, 2026",02/09,Isaías 28–31,Ai dos que procuram segurança fora do Senhor,"Isaías retorna à crise de Judá e às estratégias políticas adotadas diante da Assíria. A repetição de pronunciamentos de “ai” organiza uma denúncia contra líderes, profetas e conselheiros que recusam a palavra de Deus.","Efraim e Jerusalém são acusados de embriaguez, arrogância e incapacidade de ouvir. A falsa confiança é descrita como uma aliança com a morte, em contraste com a pedra firme estabelecida pelo Senhor. Jerusalém, chamada Ariel, será cercada, e sua religião é denunciada por aproximar-se de Deus apenas com os lábios. Nos capítulos 30 e 31, o problema político ganha forma explícita: buscar cavalos e proteção no Egito significa rejeitar a direção do Senhor. A crítica não é à prudência em si, mas à tentativa de construir segurança ignorando a palavra divina.",A incredulidade pode assumir a forma de planejamento competente quando a segurança é construída em oposição à palavra de Deus.,Como a linguagem religiosa dos capítulos 28–29 e a política dos capítulos 30–31 revelam duas expressões do mesmo problema de confiança?
9,09,"set. 3, 2026",03/09,Isaías 32–35,Do governo justo ao caminho de retorno,"Esses capítulos concluem a longa seção de advertências ligada à ameaça assíria. A alternância entre juízo e restauração se torna especialmente forte, preparando a narrativa histórica que vem a seguir.","Isaías descreve um rei que governa com justiça e uma sociedade em que olhos, ouvidos e entendimento deixam de estar fechados. A falsa tranquilidade é confrontada, e a transformação decisiva é associada ao derramamento do Espírito, que converte o deserto em campo fértil. O capítulo 33 retorna ao opressor e à expectativa da intervenção do Senhor. O julgamento de Edom no capítulo 34 contrasta com a renovação do deserto no capítulo 35, onde surge um caminho de santidade pelo qual os resgatados retornam a Sião. A restauração é apresentada como reversão da desordem produzida pelo pecado e pela opressão.","O governo restaurador de Deus envolve justiça, ação do Espírito, derrota do opressor e retorno do povo à sua presença.",Como o contraste entre Isaías 34 e 35 contribui para a compreensão do que significa restauração nesta seção?
10,10,"set. 4, 2026",04/09,Isaías 36–39,Ezequias entre confiança e vulnerabilidade,"Os capítulos 36 a 39 formam uma narrativa histórica que conecta as duas grandes partes do livro. Ezequias enfrenta primeiro a ameaça assíria e, depois, recebe emissários da Babilônia.","Rabsaqué procura destruir a confiança de Jerusalém ridicularizando a possibilidade de o Senhor livrá-la. Ezequias responde buscando a palavra de Isaías e orando, e a ameaça assíria termina sob o juízo de Deus. Em seguida, a doença do rei e sua recuperação confirmam novamente a intervenção divina. O capítulo 39, porém, muda o tom: Ezequias exibe seus tesouros aos enviados babilônicos, e Isaías anuncia que esses mesmos bens e descendentes serão levados para Babilônia. O rei que confiou durante a crise não se torna, por isso, a solução definitiva para o problema de Judá.","A libertação concedida por Deus confirma sua fidelidade, mas até um rei piedoso permanece incapaz de assegurar o futuro do povo.",Que função literária o episódio da embaixada babilônica exerce depois do livramento da Assíria nos capítulos 36–38?
